new_timestamp,electricity,power
2012-07-30,3646.0,207.67562869999998
2012-07-31,3641.0,344.6228943
2012-08-01,3709.5,330.6901855
2012-08-02,3789.0,351.212616
2012-08-03,3589.5,335.1504517
2012-08-04,2757.0,136.19276430000002
2012-08-05,2754.5,121.4954605
2012-08-06,3215.0,156.7479858
2012-08-07,4283.5,365.7461243
2012-08-08,3616.5,210.61489869999997
2012-08-09,3806.0,354.5950317
2012-08-10,3667.0,342.6882935
2012-08-11,2695.5,250.3569946
2012-08-12,2616.5,116.5360794
2012-08-13,4258.5,353.9290161
2012-08-14,5006.0,322.8327637
2012-08-15,4842.5,326.1974182
2012-08-16,5010.0,325.0658264
2012-08-17,4983.5,333.4791565
2012-08-18,2570.0,114.9290619
2012-08-19,2531.5,112.2342682
2012-08-20,4739.0,310.45617680000004
2012-08-21,4362.0,286.4948425
2012-08-22,4225.5,293.3297119
2012-08-23,3907.0,301.69049069999994
2012-08-24,3880.5,289.50314330000003
2012-08-25,2409.5,112.6222305
2012-08-26,2388.0,112.136734
2012-08-27,4189.0,302.4467468
2012-08-28,3972.0,300.6838989
2012-08-29,3924.5,301.7254028
2012-08-30,3394.0,275.3988647
2012-08-31,3249.5,193.3978424
2012-09-01,2396.0,113.4098358
2012-09-02,2362.5,109.6426163
2012-09-03,3134.5,251.38507080000002
2012-09-04,4195.5,324.113739
2012-09-05,4309.5,312.793396
2012-09-06,4266.0,329.2380676
2012-09-07,4315.5,307.6765137
2012-09-08,2590.0,133.36712649999998
2012-09-09,2411.5,118.95037079999999
2012-09-10,3927.5,317.67773439999996
2012-09-11,3788.5,288.1350403
2012-09-12,3980.5,326.41171260000004
2012-09-13,4403.0,325.7756958
2012-09-14,3963.0,323.6162415
2012-09-15,2527.5,132.3732452
2012-09-16,2510.0,127.7898865
2012-09-17,4657.0,337.0101318
2012-09-18,4686.5,321.3338623
2012-09-19,4772.0,330.5618286
2012-09-20,4666.0,326.73367310000003
2012-09-21,3603.0,221.4412079
2012-09-22,2599.5,132.3251495
2012-09-23,2574.0,131.8631744
2012-09-24,4170.5,347.9637756
2012-09-25,4039.5,332.337738
2012-09-26,4039.5,328.6583252
2012-09-27,4068.0,336.08346560000007
2012-09-28,4018.0,327.9308777
2012-09-29,2445.5,122.71105190000002
2012-09-30,2416.5,119.95574950000001
2012-10-01,3954.0,354.93530269999997
2012-10-02,3825.5,225.22242740000002
2012-10-03,3892.0,237.1812286
2012-10-04,3844.5,241.3721008
2012-10-05,3579.5,225.48890690000002
2012-10-06,2468.5,124.6292648
2012-10-07,2478.0,124.0538254
2012-10-08,2339.0,102.46385959999999
2012-10-09,3940.0,244.6469574
2012-10-10,4074.0,247.9383392
2012-10-11,3952.5,241.4681702
2012-10-12,3835.0,240.49110409999997
2012-10-13,2984.0,149.76121519999998
2012-10-14,2988.0,138.5300751
2012-10-15,4202.5,247.15748599999998
2012-10-16,3879.0,233.56938169999998
2012-10-17,3972.0,249.7406464
2012-10-18,3917.0,242.6772003
2012-10-19,3763.0,222.79179380000002
2012-10-20,2970.5,150.13734440000002
2012-10-21,3074.5,147.2705841
2012-10-22,4243.0,251.89286800000002
2012-10-23,3946.0,246.0173798
2012-10-24,3993.0,246.84231569999997
2012-10-25,3914.5,235.3549347
2012-10-26,3719.5,232.9293213
2012-10-27,2779.0,146.0092773
2012-10-28,2712.0,129.906723
2012-10-29,3946.5,233.69306949999998
2012-10-30,3836.5,232.2737122
2012-10-31,3846.0,232.3441772
2012-11-01,3753.0,223.375
2012-11-02,3527.5,221.25537110000002
2012-11-03,2567.5,139.05401609999998
2012-11-04,2721.5,138.81871030000002
2012-11-05,3885.0,225.51307680000002
2012-11-06,3827.5,230.2703857
2012-11-07,3765.0,222.6518555
2012-11-08,3765.0,221.26428219999997
2012-11-09,3531.5,216.1792755
2012-11-10,2528.0,129.42457579999999
2012-11-11,2680.0,141.0844269
2012-11-12,2519.0,121.54004669999999
2012-11-13,4076.5,258.5741577
2012-11-14,4001.0,243.35353089999998
2012-11-15,3971.5,244.3707123
2012-11-16,3851.5,237.5483398
2012-11-17,2662.5,139.2265167
2012-11-18,2686.5,146.48211669999998
2012-11-19,4182.5,255.0194244
2012-11-20,4058.5,249.21807859999998
2012-11-21,3968.5,245.585907
2012-11-22,3994.5,242.4373474
2012-11-23,3719.5,231.8818512
2012-11-24,2529.0,137.7276459
2012-11-25,2550.0,144.7600555
2012-11-26,4110.5,245.4889984
2012-11-27,3926.0,236.17115780000003
2012-11-28,4049.5,250.1872101
2012-11-29,3935.0,241.85375980000003
2012-11-30,3685.0,230.70668030000002
2012-12-01,2589.0,133.8727417
2012-12-02,2697.5,145.6973724
2012-12-03,4036.5,241.66169739999998
2012-12-04,3672.5,228.3980713
2012-12-05,3872.0,237.4883575
2012-12-06,3889.0,248.8468628
2012-12-07,3636.5,234.78540040000001
2012-12-08,2649.0,135.32298280000003
2012-12-09,2727.0,147.5076752
2012-12-10,4115.5,244.04132080000002
2012-12-11,3954.0,240.89956669999998
2012-12-12,3878.0,237.7756042
2012-12-13,3943.5,247.63194269999997
2012-12-14,3845.5,237.9856262
2012-12-15,2796.5,144.1230316
2012-12-16,2745.0,145.51295469999997
2012-12-17,3957.0,229.6383057
2012-12-18,3520.0,211.8375244
2012-12-19,3365.0,217.7299194
2012-12-20,3836.0,212.48684690000002
2012-12-21,3386.0,204.6020508
2012-12-22,2459.0,119.62033840000001
2012-12-23,2429.0,118.0842743
2012-12-24,3065.0,169.5853119
2012-12-25,2326.5,110.2695084
